mgen_id	mgen_group
xjin_XT_Innoculum_Rep1	xjin_test3
xjin_AB_P5R1a	xjin_test3
xjin_AS_P5R1a	xjin_test3
xjin_MB_P5R1a	xjin_test3
xjin_MS_P5R1a	xjin_test3
xjin_N_P5R1a	xjin_test3
xjin_Flex_Innoculum_Rep1	xjin_test4
xjin_KAPA_Innoculum_Rep1	xjin_test4
xjin_XT_Innoculum_Rep1	xjin_test4
xjin_AB_P0R1a	xjin_test4
xjin_AS_P0R1a	xjin_test4
xjin_MB_P0R1a	xjin_test4
xjin_MS_P0R1a	xjin_test4
xjin_N_P0R1a	xjin_test4
xjin_AB_P2R1a	xjin_test4
xjin_AS_P2R1a	xjin_test4
xjin_MB_P2R1a	xjin_test4
xjin_MS_P2R1a	xjin_test4
xjin_N_P2R1a	xjin_test4
xjin_AB_P3R1a	xjin_test4
xjin_AS_P3R1a	xjin_test4
xjin_MB_P3R1a	xjin_test4
xjin_MS_P3R1a	xjin_test4
xjin_N_P3R1a	xjin_test4
xjin_Flex_Innoculum_Rep1	xjin_test5
xjin_KAPA_Innoculum_Rep1	xjin_test5
xjin_XT_Innoculum_Rep1	xjin_test5
xjin_AB_P0R1a	xjin_test5
xjin_AS_P0R1a	xjin_test5
xjin_MB_P0R1a	xjin_test5
xjin_MS_P0R1a	xjin_test5
xjin_N_P0R1a	xjin_test5
xjin_AB_P2R1a	xjin_test5
xjin_AS_P2R1a	xjin_test5
xjin_MB_P2R1a	xjin_test5
xjin_MS_P2R1a	xjin_test5
xjin_N_P2R1a	xjin_test5
xjin_AB_P3R1a	xjin_test5
xjin_AS_P3R1a	xjin_test5
xjin_MB_P3R1a	xjin_test5
xjin_MS_P3R1a	xjin_test5
xjin_N_P3R1a	xjin_test5
xjin_AB_P5R1a	xjin_test5
xjin_AS_P5R1a	xjin_test5
xjin_MB_P5R1a	xjin_test5
xjin_MS_P5R1a	xjin_test5
xjin_N_P5R1a	xjin_test5
xjin_Flex_Innoculum_Rep1	xjin_test6
xjin_KAPA_Innoculum_Rep1	xjin_test6
xjin_XT_Innoculum_Rep1	xjin_test6
xjin_AB_P0R1a	xjin_test6
xjin_AS_P0R1a	xjin_test6
xjin_MB_P0R1a	xjin_test6
xjin_MS_P0R1a	xjin_test6
xjin_N_P0R1a	xjin_test6
xjin_AB_P1R1a	xjin_test6
xjin_AS_P1R1a	xjin_test6
xjin_MB_P1R1a	xjin_test6
xjin_MS_P1R1a	xjin_test6
xjin_N_P1R1a	xjin_test6
xjin_AB_P2R1a	xjin_test6
xjin_AS_P2R1a	xjin_test6
xjin_MB_P2R1a	xjin_test6
xjin_MS_P2R1a	xjin_test6
xjin_N_P2R1a	xjin_test6
xjin_AB_P3R1a	xjin_test6
xjin_AS_P3R1a	xjin_test6
xjin_MB_P3R1a	xjin_test6
xjin_MS_P3R1a	xjin_test6
xjin_N_P3R1a	xjin_test6
xjin_AB_P4R1a	xjin_test6
xjin_AS_P4R1a	xjin_test6
xjin_MB_P4R1a	xjin_test6
xjin_MS_P4R1a	xjin_test6
xjin_N_P4R1a	xjin_test6
xjin_AB_P5R1a	xjin_test6
xjin_AS_P5R1a	xjin_test6
xjin_MB_P5R1a	xjin_test6
xjin_MS_P5R1a	xjin_test6
xjin_N_P5R1a	xjin_test6
xjin_Flex_Innoculum_Rep2	xjin_test6
xjin_KAPA_Innoculum_Rep2	xjin_test6
xjin_XT_Innoculum_Rep2	xjin_test6
xjin_AB_P0R2a	xjin_test6
xjin_AS_P0R2a	xjin_test6
xjin_MB_P0R2a	xjin_test6
xjin_MS_P0R2a	xjin_test6
xjin_N_P0R2a	xjin_test6
xjin_AB_P1R2a	xjin_test6
xjin_AS_P1R2a	xjin_test6
xjin_MB_P1R2a	xjin_test6
xjin_MS_P1R2a	xjin_test6
xjin_N_P1R2a	xjin_test6
xjin_AB_P2R2a	xjin_test6
xjin_AS_P2R2a	xjin_test6
xjin_MB_P2R2a	xjin_test6
xjin_MS_P2R2a	xjin_test6
xjin_N_P2R2a	xjin_test6
xjin_AB_P3R2a	xjin_test6
xjin_AS_P3R2a	xjin_test6
xjin_MB_P3R2a	xjin_test6
xjin_MS_P3R2a	xjin_test6
xjin_N_P3R2a	xjin_test6
xjin_AB_P4R2a	xjin_test6
xjin_AS_P4R2a	xjin_test6
xjin_MB_P4R2a	xjin_test6
