mgen_id	preprocessing	sra_accession	r1_path	r2_path
watson_DB_D_06	hfilt.dedup.deadapt.qtrim	SRR13712851	raw/sra/SRR13712851_1.fq.gz	raw/sra/SRR13712851_2.fq.gz
watson_DB_D_05	hfilt.dedup.deadapt.qtrim	SRR13712852	raw/sra/SRR13712852_1.fq.gz	raw/sra/SRR13712852_2.fq.gz
watson_DB_D_04	hfilt.dedup.deadapt.qtrim	SRR13712853	raw/sra/SRR13712853_1.fq.gz	raw/sra/SRR13712853_2.fq.gz
watson_DA_D_07	hfilt.dedup.deadapt.qtrim	SRR13712854	raw/sra/SRR13712854_1.fq.gz	raw/sra/SRR13712854_2.fq.gz
watson_DB_D_02	hfilt.dedup.deadapt.qtrim	SRR13712855	raw/sra/SRR13712855_1.fq.gz	raw/sra/SRR13712855_2.fq.gz
watson_DA_R03_CDI_C_03_PRE	hfilt.dedup.deadapt.qtrim	SRR13712856	raw/sra/SRR13712856_1.fq.gz	raw/sra/SRR13712856_2.fq.gz
watson_DA_R03_CDI_C_02_PRE	hfilt.dedup.deadapt.qtrim	SRR13712857	raw/sra/SRR13712857_1.fq.gz	raw/sra/SRR13712857_2.fq.gz
watson_DA_R03_CDI_C_01_PRE	hfilt.dedup.deadapt.qtrim	SRR13712858	raw/sra/SRR13712858_1.fq.gz	raw/sra/SRR13712858_2.fq.gz
watson_DA_R02_CDI_C_07_POST	hfilt.dedup.deadapt.qtrim	SRR13712859	raw/sra/SRR13712859_1.fq.gz	raw/sra/SRR13712859_2.fq.gz
watson_DA_R02_CDI_C_06_POST	hfilt.dedup.deadapt.qtrim	SRR13712860	raw/sra/SRR13712860_1.fq.gz	raw/sra/SRR13712860_2.fq.gz
watson_DA_R02_CDI_C_05_POST	hfilt.dedup.deadapt.qtrim	SRR13712861	raw/sra/SRR13712861_1.fq.gz	raw/sra/SRR13712861_2.fq.gz
watson_DA_R02_CDI_C_04_POST	hfilt.dedup.deadapt.qtrim	SRR13712862	raw/sra/SRR13712862_1.fq.gz	raw/sra/SRR13712862_2.fq.gz
watson_DA_R02_CDI_C_03_POST	hfilt.dedup.deadapt.qtrim	SRR13712863	raw/sra/SRR13712863_1.fq.gz	raw/sra/SRR13712863_2.fq.gz
watson_DA_R02_CDI_C_02_PRE	hfilt.dedup.deadapt.qtrim	SRR13712864	raw/sra/SRR13712864_1.fq.gz	raw/sra/SRR13712864_2.fq.gz
watson_DA_R02_CDI_C_01_PRE	hfilt.dedup.deadapt.qtrim	SRR13712865	raw/sra/SRR13712865_1.fq.gz	raw/sra/SRR13712865_2.fq.gz
watson_DA_D_04	hfilt.dedup.deadapt.qtrim	SRR13712866	raw/sra/SRR13712866_1.fq.gz	raw/sra/SRR13712866_2.fq.gz
watson_DA_R01_CDI_P_08_PRE	hfilt.dedup.deadapt.qtrim	SRR13712867	raw/sra/SRR13712867_1.fq.gz	raw/sra/SRR13712867_2.fq.gz
watson_DA_R01_CDI_P_06_POST	hfilt.dedup.deadapt.qtrim	SRR13712868	raw/sra/SRR13712868_1.fq.gz	raw/sra/SRR13712868_2.fq.gz
watson_DA_R01_CDI_P_05_POST	hfilt.dedup.deadapt.qtrim	SRR13712869	raw/sra/SRR13712869_1.fq.gz	raw/sra/SRR13712869_2.fq.gz
watson_DA_R01_CDI_P_03_POST	hfilt.dedup.deadapt.qtrim	SRR13712870	raw/sra/SRR13712870_1.fq.gz	raw/sra/SRR13712870_2.fq.gz
watson_DA_R01_CDI_P_02_POST	hfilt.dedup.deadapt.qtrim	SRR13712871	raw/sra/SRR13712871_1.fq.gz	raw/sra/SRR13712871_2.fq.gz
watson_DA_R01_CDI_P_01_PRE	hfilt.dedup.deadapt.qtrim	SRR13712872	raw/sra/SRR13712872_1.fq.gz	raw/sra/SRR13712872_2.fq.gz
watson_DA_D_23	hfilt.dedup.deadapt.qtrim	SRR13712873	raw/sra/SRR13712873_1.fq.gz	raw/sra/SRR13712873_2.fq.gz
watson_DA_D_22	hfilt.dedup.deadapt.qtrim	SRR13712874	raw/sra/SRR13712874_1.fq.gz	raw/sra/SRR13712874_2.fq.gz
watson_DB_D_01	hfilt.dedup.deadapt.qtrim	SRR13712875	raw/sra/SRR13712875_1.fq.gz	raw/sra/SRR13712875_2.fq.gz
watson_DB_D_03	hfilt.dedup.deadapt.qtrim	SRR13712876	raw/sra/SRR13712876_1.fq.gz	raw/sra/SRR13712876_2.fq.gz
watson_DA_R05_UC_C_05_POST	hfilt.dedup.deadapt.qtrim	SRR13712877	raw/sra/SRR13712877_1.fq.gz	raw/sra/SRR13712877_2.fq.gz
watson_DA_R05_UC_C_04_POST	hfilt.dedup.deadapt.qtrim	SRR13712878	raw/sra/SRR13712878_1.fq.gz	raw/sra/SRR13712878_2.fq.gz
watson_DA_R05_UC_C_03_POST	hfilt.dedup.deadapt.qtrim	SRR13712879	raw/sra/SRR13712879_1.fq.gz	raw/sra/SRR13712879_2.fq.gz
watson_DA_R05_UC_C_02_POST	hfilt.dedup.deadapt.qtrim	SRR13712880	raw/sra/SRR13712880_1.fq.gz	raw/sra/SRR13712880_2.fq.gz
watson_DA_R04_UC_P_09_POST	hfilt.dedup.deadapt.qtrim	SRR13712881	raw/sra/SRR13712881_1.fq.gz	raw/sra/SRR13712881_2.fq.gz
watson_DA_R04_UC_P_07_POST	hfilt.dedup.deadapt.qtrim	SRR13712882	raw/sra/SRR13712882_1.fq.gz	raw/sra/SRR13712882_2.fq.gz
watson_DA_R04_UC_P_06_POST	hfilt.dedup.deadapt.qtrim	SRR13712883	raw/sra/SRR13712883_1.fq.gz	raw/sra/SRR13712883_2.fq.gz
watson_DA_R05_UC_C_01_PRE	hfilt.dedup.deadapt.qtrim	SRR13712884	raw/sra/SRR13712884_1.fq.gz	raw/sra/SRR13712884_2.fq.gz
watson_DA_D_06	hfilt.dedup.deadapt.qtrim	SRR13712885	raw/sra/SRR13712885_1.fq.gz	raw/sra/SRR13712885_2.fq.gz
watson_DA_R04_UC_P_05_POST	hfilt.dedup.deadapt.qtrim	SRR13712886	raw/sra/SRR13712886_1.fq.gz	raw/sra/SRR13712886_2.fq.gz
watson_DA_R04_UC_P_04_POST	hfilt.dedup.deadapt.qtrim	SRR13712887	raw/sra/SRR13712887_1.fq.gz	raw/sra/SRR13712887_2.fq.gz
